차량명,연식,주행거리,가격
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 1월식,"115,528km",990만원
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브,20년 4월식,"87,818km","2,020만원"
기아 레이 럭셔리,13년 10월식(14년형),"108,330km",700만원
기아 더 뉴 레이 시그니처,22년 6월식,"6,121km","1,590만원"
아우디 뉴 A3 40 TFSI 8V,18년 9월식,"60,849km","1,420만원"
제네시스 GV70 가솔린 터보 2.5 2WD,23년 4월식,"25,898km","4,220만원"
BMW 3시리즈 (F30) 320i,14년 5월식,"78,656km","1,170만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 4월식(21년형),"69,312km","1,690만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,20년 9월식,"125,893km","1,730만원"
르노코리아(삼성) 뉴 QM6 LPG 2.0 2WD (일반인 판매용) 프리미에르,22년 2월식,"51,646km","1,920만원"
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (7인승),21년 1월식,"41,439km","2,730만원"
기아 K5 2세대 2.0 MX 럭셔리,17년 8월식(18년형),"81,756km",980만원
현대 엑센트(신형) 위트 1.4 VVT 모던 세부등급 없음,17년 6월식(18년형),"30,538km",790만원
기아 K3 프레스티지,15년 6월식,"70,814km",730만원
기아 더 뉴 레이 밴 (2인승) 프레스티지,22년 1월식,"43,817km",930만원
기아 모닝 어반 가솔린 1.0 프레스티지,22년 4월식,"31,633km","1,300만원"
미니 쿠퍼 컨트리맨 (2세대) 기본형,21년 2월식,"50,428km","2,180만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 시그니처 그래비티,23년 1월식,"60,866km","3,220만원"
볼보 S80 (2세대) 2.0 T5 섬멈,16년 2월식,"75,761km","1,250만원"
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,21년 11월식(22년형),"44,858km","1,450만원"
기아 스포티지 더 볼드 디젤 2.0 2WD 시그니쳐 그래비티,20년 12월식(21년형),"53,923km","2,160만원"
볼보 S90 B5 인스크립션,21년 5월식,"94,799km","2,970만원"
푸조 3008 2세대 1.5 BlueHDi GT,21년 10월식,"80,330km","2,150만원"
현대 투싼 하이브리드 (4세대) 1.6 터보 2WD 프리미엄,21년 10월식(22년형),"70,992km","2,360만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 올 뉴 K7 2.4 GDI 노블레스,19년 6월식,"145,526km","1,260만원"
현대 그랜저 HG 하이브리드 프리미엄,16년 10월식(17년형),"154,373km",920만원
현대 더 뉴 코나 가솔린 터보 1.6 4WD 인스퍼레이션,21년 3월식,"31,631km","2,250만원"
KG모빌리티(쌍용) 뷰티풀 코란도 디젤 2WD 1.6 판타스틱,19년 6월식,"126,875km","1,270만원"
현대 쏘나타 뉴 라이즈 LPI 프리미엄,17년 5월식(18년형),"139,517km","1,290만원"
벤츠 E-클래스 W213 E450 4MATIC 쿠페,21년 1월식,"75,119km","5,390만원"
기아 올 뉴 모닝 (JA) 럭셔리,19년 3월식,"88,421km",890만원
KG모빌리티(쌍용) 뉴코란도 C 2.2 익스트림 2WD,15년 10월식(16년형),"69,016km",750만원
현대 더 뉴 그랜저 가솔린 2.5 캘리그래피,20년 6월식,"72,764km","2,410만원"
제네시스 G70 2.0T 엘리트,20년 1월식,"48,080km","2,550만원"
현대 캐스퍼 가솔린 1.0 스마트,22년 12월식(23년형),"44,832km","1,120만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,23년 5월식(24년형),"37,118km","2,080만원"
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,22년 4월식,"27,737km","2,690만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,22년 3월식,"92,076km","2,230만원"
현대 LF 쏘나타 2.0 스마트 스페셜,15년 11월식(16년형),"77,455km","1,280만원"
쉐보레(GM대우) 어메이징 뉴 크루즈 1.8 LT 디럭스팩,15년 6월식,"29,326km",570만원
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,21년 2월식,"125,365km","1,880만원"
기아 올 뉴 K7 2.4 GDI 리미티드,17년 12월식,"118,415km","1,270만원"
기아 레이 프레스티지,12년 5월식,"89,683km",700만원
현대 아반떼 MD M16 GDI 에비뉴,13년 7월식(14년형),"100,866km",590만원
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 칸 디젤 2.2 4WD 익스페디션,22년 7월식,"66,567km","2,510만원"
현대 캐스퍼 가솔린 1.0 모던,22년 9월식(23년형),"13,523km","1,590만원"
기아 올 뉴 모닝 디럭스 스페셜,12년 8월식,"83,580km",530만원
기아 K5 3세대 가솔린 2.0 시그니처,20년 1월식,"96,652km","2,090만원"
현대 코나 디젤 1.6 2WD 프리미엄,19년 3월식,"68,053km","1,430만원"
벤츠 CLS-클래스 C257 CLS450 4MATIC,22년 6월식,"21,389km","6,350만원"
기아 스팅어 2.0 터보 AWD 드림에디션,17년 10월식(18년형),"103,464km","1,670만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD 프리미어,20년 11월식(21년형),"68,712km","1,530만원"
미니 쿠퍼 클럽맨(2세대) S 기본형,19년 2월식,"88,063km","1,670만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 프리미엄,16년 6월식,"91,562km","1,290만원"
기아 올 뉴 모닝 럭셔리,14년 12월식(15년형),"47,091km",670만원
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 6인승,21년 1월식,"96,067km","3,050만원"
기아 모닝 어반 가솔린 1.0 밴 세부등급 없음,21년 4월식,"51,532km",730만원
기아 K5 3세대 가솔린 2.0 노블레스,22년 4월식,"59,121km","2,130만원"
기아 K8 가솔린 2.5 노블레스,22년 4월식,"64,317km","2,320만원"
현대 스타리아 디젤 2.2 투어러 (9인승) 2WD 모던,21년 7월식(22년형),"69,792km","2,580만원"
볼보 XC60 2세대 B5 얼티메이트 브라이트,23년 9월식(24년형),"43,167km","4,820만원"
현대 아반떼 MD M16 GDI 프리미어,11년 9월식(12년형),"85,057km",590만원
미니 쿠퍼 클럽맨(2세대 F/L) T1,23년 4월식,"47,636km","2,290만원"
마쯔다 MX-5 MIATA MIATA,21년 12월식,"52,728km","3,790만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 디젤 2.2 2WD 프레스티지,22년 8월식,"40,779km","2,150만원"
KG모빌리티(쌍용) 뉴코란도 C 2.2 RX 2WD 고급형,16년 11월식(17년형),"82,710km",690만원
현대 팰리세이드 가솔린 3.8 2WD 캘리그래피 (7인승),22년 5월식,"51,781km","2,750만원"
현대 더 뉴 싼타페 디젤 2.2 2WD 프레스티지,20년 8월식(21년형),"66,453km","2,540만원"
기아 모닝 어반 가솔린 1.0 밴 세부등급 없음,21년 3월식,"20,972km",820만원
르노코리아(삼성) 더 뉴 SM6 가솔린 터보 1.8 프리미에르,20년 9월식(21년형),"52,814km","1,950만원"
볼보 S60 3세대 가솔린 2WD B5 인스크립션,21년 3월식,"52,860km","2,800만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 쿨멘 디젤 2.2 4WD 와일드 플러스,24년 4월식,"19,802km","2,620만원"
현대 더 뉴 아반떼 AD 1.6 스마트 베스트 초이스 패키지,19년 10월식(20년형),"84,916km","1,320만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,21년 6월식,"49,030km","1,930만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 럭셔리,14년 12월식(15년형),"113,805km","1,120만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 밸류 플러스,18년 3월식,"136,002km","1,380만원"
기아 K5 3세대 하이브리드 노블레스,23년 1월식,"79,477km","2,320만원"
현대 쏘나타 DN8 1.6 터보 인스퍼레이션,20년 9월식(21년형),"46,331km","2,370만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 쏘나타 DN8 1.6 터보 프리미엄,19년 12월식(20년형),"19,421km","1,870만원"
르노코리아(삼성) 뉴QM3 RE 세부등급 없음,17년 10월식(18년형),"60,787km",850만원
제네시스 G70 2.0T AWD 스포츠 패키지,19년 2월식,"107,763km","2,120만원"
기아 더 뉴 카니발 7인승 리무진 프레지던트,18년 11월식(19년형),"102,783km","1,890만원"
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),21년 4월식(22년형),"32,782km","3,570만원"
르노코리아(삼성) QM6 가솔린 2WD RE 시그니처,19년 2월식,"135,364km","1,290만원"
기아 K5 2세대 2.0 MX 프레스티지,16년 4월식,"136,313km",880만원
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,20년 4월식,"73,028km","1,280만원"
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,14년 1월식,"93,180km",790만원
르노코리아(삼성) SM6 2.0 GDe 프리미에르,20년 2월식,"43,267km","1,360만원"
현대 아이오닉 하이브리드 N 플러스,16년 6월식,"55,600km","1,380만원"
기아 더 뉴 셀토스 가솔린 터보 1.6 4WD 프레스티지,23년 5월식(24년형),"29,438km","2,700만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 1월식,"51,653km","1,740만원"
KG모빌리티(쌍용) 티볼리 LX 2WD 세부등급 없음,17년 1월식,"60,475km","1,090만원"
KG모빌리티(쌍용) 티볼리 에어 디젤 RX 2WD 기본형,19년 4월식,"30,756km","1,170만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,20년 11월식(21년형),"122,744km","1,650만원"
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 세부등급 없음,15년 10월식(16년형),"121,752km","1,090만원"
현대 팰리세이드 가솔린 3.8 2WD 캘리그래피 (7인승),20년 10월식(21년형),"78,844km","2,670만원"
현대 더 뉴 코나 가솔린 터보 1.6 4WD 모던,21년 9월식,"45,005km","1,990만원"
아우디 뉴 A6 (C7) 35 TDI 프리미엄 C7,18년 6월식,"73,646km","1,790만원"
현대 더 뉴 맥스크루즈 디젤 2.2 2WD 익스클루시브,17년 9월식(18년형),"105,033km","1,450만원"
제네시스 G80 3.3 GDI AWD 럭셔리,16년 11월식(17년형),"90,727km","1,590만원"
BMW X4 (F26) xDrive 20d M 스포츠,17년 9월식,"59,834km","2,690만원"
쉐보레(GM대우) 스파크 스파크 S LT,13년 8월식(14년형),"98,731km",420만원
기아 K8 가솔린 2.5 노블레스 라이트,21년 5월식(22년형),"19,335km","2,320만원"
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 헤리티지,17년 6월식(18년형),"80,733km","1,780만원"
르노코리아(삼성) 더 뉴 SM6 가솔린 터보 1.3 필,23년 3월식,"51,172km","1,650만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
폭스바겐 티구안 올스페이스 2.0 TSI 프레스티지,23년 12월식,"23,347km","3,200만원"
제네시스 GV70 가솔린 터보 2.5 2WD,23년 2월식,"36,145km","4,590만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 럭셔리,15년 6월식,"93,669km","1,190만원"
BMW X1 (F48) xDrive 20i xLine,21년 1월식,"43,452km","2,990만원"
제네시스 GV70 가솔린 터보 2.5 AWD,22년 2월식,"83,774km","3,390만원"
현대 아반떼 MD M16 GDI 에비뉴,13년 7월식(14년형),"61,601km",620만원
기아 셀토스 가솔린 터보 1.6 2WD 노블레스,20년 1월식,"57,391km","1,990만원"
쉐보레(GM대우) 올란도 LPG LT 세이프티팩,14년 1월식,"120,308km",540만원
기아 뉴 쏘렌토 R 디젤 2.0 2WD 트렌디,14년 7월식,"110,487km",920만원
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,22년 3월식,"108,534km","1,960만원"
제네시스 EQ900 3.8 GDI 럭셔리,18년 10월식,"107,101km","2,080만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,17년 8월식(18년형),"89,706km","1,070만원"
볼보 XC40 T4 R-디자인,19년 1월식,"68,722km","2,320만원"
제네시스 G80 3.3 GDI 럭셔리,17년 7월식(18년형),"123,752km","1,520만원"
현대 투싼 하이브리드 (4세대) 1.6 터보 2WD 프리미엄,21년 10월식(22년형),"96,297km","2,430만원"
현대 스타리아 디젤 2.2 라운지 2WD 9인승 인스퍼레이션,21년 6월식(22년형),"93,427km","2,840만원"
벤츠 CLA-클래스 C117 CLA250 4MATIC,17년 1월식,"88,431km","1,470만원"
기아 K3 디럭스,13년 12월식(14년형),"126,549km",490만원
제네시스 GV80 가솔린 2.5 AWD (7인승),23년 10월식,"33,216km","5,570만원"
BMW 2시리즈 액티브 투어러 (F45) 럭셔리,20년 11월식(21년형),"92,333km","1,690만원"
기아 더 뉴 K9 2세대 3.3 T-GDI AWD 플래티넘,22년 7월식,"13,300km","3,960만원"
현대 코나 1.6 터보 2WD 프리미엄,19년 10월식(20년형),"60,562km","1,590만원"
KG모빌리티(쌍용) 티볼리 아머 LX 2WD,17년 9월식(18년형),"49,307km","1,290만원"
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (7인승),20년 3월식,"93,405km","2,620만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,18년 8월식(19년형),"104,100km","1,590만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i 투어링 럭셔리,21년 2월식,"97,257km","2,850만원"
르노코리아(삼성) 아르카나 가솔린 1.6 아이코닉,24년 5월식(25년형),"22,658km","2,030만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 그랜저 IG 2.4 익스클루시브 스페셜,19년 2월식,"104,114km","1,830만원"
현대 코나 1.6 터보 2WD 모던,18년 8월식,"78,117km","1,240만원"
현대 팰리세이드 디젤 2.2 4WD 익스클루시브 (7인승),20년 4월식,"90,521km","2,550만원"
현대 포터2 CRDi 카고 초장축 더블캡 프리미엄,22년 4월식,"17,210km","1,640만원"
현대 LF 쏘나타 하이브리드 2.0 HEV 프리미엄,15년 1월식,"128,339km","1,030만원"
현대 쏘나타 DN8 하이브리드 프리미엄 밀레니얼,19년 12월식(20년형),"102,004km","2,010만원"
기아 올 뉴 모닝 디럭스 스페셜,13년 2월식,"45,094km",580만원
쉐보레(GM대우) 말리부 2.0 디젤 LT 프리미엄팩,15년 2월식,"50,572km",670만원
기아 올 뉴 모닝 (JA) 럭셔리,17년 11월식,"24,971km",920만원
기아 올 뉴 K7 2.4 GDI 리미티드,17년 4월식,"64,661km","1,470만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,17년 3월식,"111,856km",880만원
르노코리아(삼성) SM6 2.0 GDe RE,16년 7월식,"85,657km",840만원
현대 그랜저 IG 3.0 익스클루시브 스페셜,19년 2월식,"136,972km","1,540만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,17년 6월식,"55,451km",610만원
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5 플러스,21년 7월식(22년형),"80,052km","1,460만원"
현대 싼타페 TM 가솔린 2.0T 2WD 프리미엄,19년 5월식,"134,599km","1,620만원"
기아 K5 2.0 프레스티지 기본형,12년 7월식(13년형),"56,723km",830만원
쉐보레(GM대우) 올 뉴 말리부 2.0 터보 LTZ 프리미엄,18년 1월식,"149,209km",790만원
인피니티 뉴 QX50 2.0 에센셜,19년 12월식,"81,582km","1,750만원"
현대 포터2 CRDi 카고 초장축 더블캡 스마트,17년 9월식(18년형),"57,475km","1,320만원"
제네시스 GV70 가솔린 터보 2.5 AWD,21년 10월식,"93,240km","3,620만원"
기아 스포티지 4세대 디젤 1.7 2WD 노블레스 세부등급 없음,16년 4월식,"36,726km","1,210만원"
KG모빌리티(쌍용) 렉스턴 뉴 아레나 디젤 2.2 4WD 더 블랙 5인승,23년 8월식(24년형),"58,063km","3,380만원"
쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 코어,18년 10월식(19년형),"24,757km",990만원
기아 K3 럭셔리,13년 8월식,"73,428km",580만원
제네시스 GV70 디젤 2.2 스포츠 AWD,21년 3월식,"42,389km","4,290만원"
제네시스 G70 3.3T 스포츠 엘리트,19년 12월식(20년형),"105,196km","1,970만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,22년 3월식(23년형),"74,085km","1,860만원"
쉐보레(GM대우) 더 뉴 아베오 세단 1.4 터보 LS,17년 6월식,"26,805km",550만원
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,22년 3월식,"57,878km","7,080만원"
BMW 2시리즈 그란쿠페 (F44) 가솔린 2WD 220i M 스포츠,22년 9월식,"86,911km","2,490만원"
기아 K8 가솔린 2.5 시그니처,21년 9월식(22년형),"54,743km","2,290만원"
벤츠 E-클래스 W213 E300 아방가르드,19년 5월식,"79,973km","2,450만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 6월식(21년형),"104,585km","1,590만원"
닛산 맥시마 (A36) 3.5 플래티넘,17년 6월식,"96,566km","1,190만원"
기아 K5 2세대 2.0 MX 프레스티지,15년 9월식(16년형),"81,876km","1,030만원"
볼보 XC60 2세대 T8 R-디자인,21년 3월식,"108,317km","3,250만원"
기아 올 뉴 K7 3.0 LPI 프레스티지,17년 2월식,"64,907km","1,590만원"
기아 올 뉴 K3 노블레스,18년 7월식(19년형),"69,028km","1,450만원"
기아 K5 3세대 하이브리드 노블레스,21년 4월식,"61,140km","2,080만원"
기아 스팅어 2.0 터보 2WD 플래티넘,19년 1월식,"124,237km","1,820만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 프리미엄,19년 5월식,"82,488km","1,850만원"
현대 코나 (SX2) 가솔린 1.6 2WD 인스퍼레이션,23년 6월식,"41,442km","2,520만원"
쉐보레(GM대우) 말리부 2.0 LS 디럭스팩,14년 7월식,"53,368km",510만원
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5,21년 4월식,"92,668km","1,320만원"
기아 더 뉴 쏘렌토 디젤 2.0 2WD 마스터,18년 10월식(19년형),"83,170km","1,920만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 익스클루시브 세부등급 없음,14년 4월식(15년형),"123,674km","1,060만원"
쉐보레(GM대우) 더 뉴 스파크 밴 세부등급 없음,20년 6월식,"58,556km",620만원
기아 올 뉴 쏘렌토 디젤 2.0 2WD 프레스티지,15년 6월식,"114,259km","1,270만원"
캐딜락 CT6 3.6 플래티넘 AWD,17년 9월식,"82,567km","2,070만원"
현대 쏘나타 뉴 라이즈 2.0 스마트,18년 2월식,"118,362km","1,180만원"
제네시스 더 뉴 G70 가솔린 터보 2.0 2WD,21년 6월식,"99,318km","2,650만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,16년 12월식(17년형),"57,951km",580만원
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.6 RX 2WD,17년 6월식,"48,744km","1,070만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
BMW X1 (U11) 가솔린 2.0 xDrive20i M Sport,25년 4월식,"6,332km","4,880만원"
현대 팰리세이드 가솔린 3.8 2WD 프레스티지 (8인승),21년 7월식(22년형),"52,052km","2,290만원"
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브 스페셜,19년 2월식,"80,472km","1,970만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,16년 7월식(17년형),"48,314km",720만원
기아 더 뉴 레이 밴 (2인승) 프레스티지,22년 1월식,"51,628km",960만원
현대 그랜드 스타렉스 5인승 밴 모던,16년 8월식(17년형),"77,402km","1,320만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 시그니처 그래비티,21년 8월식(22년형),"48,962km","3,090만원"
기아 스팅어 2.0 터보 2WD 플래티넘,18년 10월식(19년형),"105,977km","1,830만원"
기아 더 뉴 레이 밴 (2인승) 프레스티지,22년 1월식,"42,362km",970만원
르노코리아(삼성) QM6 디젤 2WD RE 시그니처,18년 3월식,"109,492km","1,150만원"
르노코리아(삼성) SM6 2.0 GDe LE,16년 4월식,"93,000km",690만원
기아 니로 노블레스,16년 9월식(17년형),"131,834km","1,190만원"
기아 올 뉴 K3 프레스티지,20년 3월식,"60,738km","1,310만원"
현대 엑센트(신형) 1.4 VVT 프리미엄,17년 7월식,"18,970km",820만원
현대 싼타페 더 프라임 가솔린 2.0 터보 4WD 밸류 플러스,17년 6월식(18년형),"23,263km","2,190만원"
BMW 2시리즈 그란쿠페 (F44) 가솔린 2WD 220i M 스포츠,21년 11월식(22년형),"15,188km","2,890만원"
아우디 A7 (4K) 가솔린 4WD 55 TFSI 콰트로 프리미엄,21년 3월식,"30,069km","5,200만원"
현대 팰리세이드 가솔린 3.8 2WD 프레스티지 (7인승),22년 5월식,"35,711km","2,920만원"
기아 더 뉴 모닝 럭셔리,15년 10월식(16년형),"105,833km",590만원
제네시스 G80 3.3 GDI 럭셔리,17년 6월식,"133,887km","1,490만원"
현대 팰리세이드 가솔린 3.8 4WD 캘리그래피 (7인승),21년 1월식,"77,756km","2,600만원"
쉐보레(GM대우) 더 넥스트 스파크 에코 LTZ,16년 5월식,"54,576km",670만원
KG모빌리티(쌍용) 티볼리 디젤 LX 2WD,16년 12월식(17년형),"88,504km",850만원
기아 K5 2세대 2.0 SX 프레스티지,17년 11월식(18년형),"81,217km","1,310만원"
쉐보레(GM대우) 스파크 LS 스타,13년 3월식,"69,624km",390만원
현대 팰리세이드 디젤 2.2 4WD 캘리그래피 (7인승),22년 5월식,"75,993km","3,390만원"
제네시스 G70 3.3T 스포츠 슈프림,18년 6월식,"81,975km","1,860만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
