차량명,연식,주행거리,가격
아우디 A4 (B9) 40 TFSI 프리미엄,21년 3월식,"90,246km","2,170만원"
제네시스 GV70 가솔린 터보 2.5 AWD,23년 2월식,"13,157km","4,190만원"
현대 더 뉴 싼타페 가솔린 2.5 2WD 캘리그래피,23년 8월식,"41,225km","2,960만원"
기아 스토닉 1.4 가솔린 트렌디,19년 3월식,"62,095km","1,200만원"
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),20년 6월식(21년형),"60,543km","3,180만원"
현대 더 뉴 그랜저 가솔린 3.3 프리미엄,22년 3월식,"79,012km","2,190만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 1월식(22년형),"82,047km","1,700만원"
제네시스 더 뉴 G70 가솔린 터보 2.5 AWD,23년 10월식(24년형),"97,281km","3,390만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 프레스티지,21년 11월식(22년형),"128,058km","2,000만원"
KG모빌리티(쌍용) 티볼리 에어 디젤 IX 2WD 기본형,17년 1월식,"66,911km",990만원
KG모빌리티(쌍용) 토레스 가솔린 1.5 4WD 블랙에디션,24년 2월식,"12,505km","2,570만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,21년 3월식,"96,086km","2,690만원"
기아 올 뉴 K3 럭셔리,20년 1월식,"35,164km","1,340만원"
기아 셀토스 가솔린 터보 1.6 2WD 노블레스,20년 4월식,"94,147km","1,800만원"
현대 쏘나타 DN8 2.0 LPi 인스퍼레이션,20년 6월식(21년형),"93,324km","1,980만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 시그니처,23년 11월식(24년형),"19,956km","2,850만원"
현대 더 뉴 그랜저 가솔린 2.5 캘리그래피,21년 8월식(22년형),"77,256km","2,560만원"
기아 K7 하이브리드 700h 프레스티지,15년 8월식,"133,226km",930만원
제네시스 GV70 가솔린 터보 2.5 AWD,23년 6월식,"37,971km","4,490만원"
기아 모닝 어반 가솔린 1.0 프레스티지,22년 5월식,"28,888km","1,230만원"
제네시스 GV80 (F/L) 가솔린 2.5 4WD 기본형,24년 3월식,"60,995km","5,650만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,17년 9월식(18년형),"93,782km","1,320만원"
현대 더 뉴 그랜드 스타렉스 밴 5인승 모던,21년 3월식,"43,270km","1,850만원"
제네시스 GV80 가솔린 2.5 AWD (5인승),21년 1월식,"121,362km","4,180만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3 스폐셜,20년 6월식(21년형),"26,955km","1,490만원"
기아 K7 프리미어 가솔린 2.5 프레스티지,21년 2월식,"74,258km","1,720만원"
현대 디 올 뉴 싼타페 하이브리드 터보 1.6 하이브리드 2WD 캘리그래피,24년 7월식,"14,804km","4,080만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,22년 3월식,"85,245km","3,850만원"
제네시스 GV80 가솔린 2.5 AWD (5인승),22년 2월식,"115,594km","3,800만원"
기아 K7 프리미어 가솔린 2.5 X 에디션,21년 1월식,"107,047km","2,120만원"
현대 그랜저 (GN7) LPG 3.5 (일반인) 프리미엄,23년 12월식,"41,992km","3,180만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,22년 3월식,"60,277km","2,600만원"
기아 더 뉴 카렌스 2.0 LPI 프레스티지,18년 4월식,"64,489km","1,380만원"
기아 올 뉴 K7 2.4 GDI 프레스티지,17년 11월식,"111,877km","1,030만원"
BMW X3 (G01) xDrive 20i M 스포츠,21년 5월식,"55,192km","4,240만원"
현대 더 뉴 그랜저 LPG 3.0 (일반인판매용) 익스클루시브,21년 1월식,"93,580km","2,400만원"
현대 그랜저 하이브리드 (GN7) 가솔린 터보 1.6 하이브리드 익스클루시브,24년 4월식,"31,345km","3,830만원"
제네시스 GV80 가솔린 2.5 2WD (6인승),22년 2월식,"40,383km","5,290만원"
기아 더 뉴 K9 2세대 3.8 GDI AWD 베스트셀렉션Ⅰ,23년 2월식,"55,529km","4,090만원"
기아 모닝 어반 가솔린 1.0 밴 스페셜,23년 4월식,"16,917km","1,130만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3,22년 6월식,"1,767km","1,820만원"
기아 더 뉴 K7 2.4 GDI 프레스티지,16년 2월식,"58,588km",960만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
미니 쿠퍼 (3세대 F/L) 클래식 플러스 런치 팩,23년 4월식,"9,991km","2,310만원"
제네시스 GV80 쿠페 가솔린 2.5 AWD 기본형,24년 1월식,"6,655km","7,790만원"
현대 싼타페 TM 디젤 2.2 2WD 프레스티지,19년 1월식,"90,259km","1,930만원"
BMW X7 (G07) 가솔린 4WD xDrive 40i 디자인 퓨어 엑셀런스 7인승,23년 9월식(24년형),"63,829km","9,400만원"
기아 카니발 (4세대) 디젤 2.2 (7인승) 하이리무진 시그니처,23년 1월식,"110,256km","3,520만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 6인승,21년 4월식,"93,270km","3,150만원"
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,21년 2월식,"82,959km","2,290만원"
현대 코나 1.6 터보 2WD 모던 초이스,20년 3월식,"71,498km","1,670만원"
기아 K8 하이브리드 노블레스,22년 3월식,"88,817km","2,550만원"
기아 K5 3세대 가솔린 2.0 프레스티지,21년 4월식,"74,492km","1,890만원"
제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,24년 3월식(25년형),"31,979km","5,880만원"
현대 아이오닉 5 롱레인지 프레스티지,24년 3월식,"19,603km","3,930만원"
쉐보레(GM대우) 임팔라 2.5 프리미어,18년 5월식,"87,560km",980만원
기아 더 뉴 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 노블레스,24년 12월식(25년형),"18,185km","3,950만원"
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,23년 5월식,"16,041km","2,840만원"
제네시스 G90 (RS4) 가솔린 AWD 3.5 터보,22년 8월식,"150,286km","5,890만원"
현대 더 뉴 코나 가솔린 터보 1.6 (N라인) 4WD 인스퍼레이션,21년 3월식,"118,976km","1,930만원"
현대 그랜저 (GN7) 가솔린 2.5 캘리그래피,23년 6월식,"42,521km","3,590만원"
제네시스 G90 (RS4) 가솔린 AWD 3.5 터보,23년 1월식,"60,627km","7,690만원"
기아 K8 하이브리드 노블레스,22년 9월식(23년형),"43,928km","3,030만원"
쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 세부등급 없음,21년 2월식,"26,100km","1,090만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 7인승,22년 5월식,"58,622km","3,850만원"
제네시스 G90 (RS4) 가솔린 AWD 3.5 터보,22년 12월식(23년형),"84,436km","5,650만원"
KG모빌리티(쌍용) 더 뉴 토레스 가솔린 터보 1.5 밴 4WD TV7,24년 7월식(25년형),"21,377km","2,500만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,23년 4월식,"29,210km","2,260만원"
제네시스 G70 3.3T 스포츠 프레스티지,19년 3월식,"102,912km","2,480만원"
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5 프라임,20년 2월식,"83,837km","1,300만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,20년 4월식(21년형),"103,291km","3,190만원"
현대 디 올 뉴 싼타페 하이브리드 터보 1.6 하이브리드 2WD 캘리그래피,23년 11월식(24년형),"21,309km","4,120만원"
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,18년 8월식(19년형),"61,985km","2,130만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 프레스티지,22년 1월식,"82,282km","2,360만원"
제네시스 GV80 가솔린 2.5 AWD (5인승),23년 4월식,"69,796km","5,250만원"
현대 올 뉴 투싼 디젤 2.0 2WD 모던,17년 6월식(18년형),"77,128km","1,450만원"
기아 올 뉴 K7 2.4 GDI 리미티드,17년 11월식,"78,120km","1,290만원"
벤츠 AMG GT 4도어 43 4MATIC+ 스페셜 에디션,23년 4월식,"34,662km","8,800만원 9,200만원"
기아 더 뉴 쏘렌토 4세대 디젤 2.2 4WD 노블레스,25년 2월식,"12,997km","3,950만원 4,090만원"
폭스바겐 올 뉴 제타 1.4 가솔린 1.4 프레스티지,20년 11월식,"48,801km","1,690만원 1,880만원"
벤츠 C-클래스 W206 가솔린 4WD C300 4MATIC AMG Line,23년 7월식,"10,792km","4,750만원 4,890만원"
인피니티 Q30 2.0 에센셜,19년 4월식,"77,399km","1,030만원 1,180만원"
기아 타스만 가솔린 터보 2.5 4WD 익스트림,25년 3월식(26년형),"3,209km","4,150만원 4,330만원"
기아 더 뉴 K3 2세대 프레스티지,22년 12월식(23년형),"57,040km","1,720만원"
제네시스 GV80 쿠페 가솔린 3.5 e-S/C AWD 기본형,24년 8월식,"15,967km","8,490만원"
BMW 1시리즈 (F40) 가솔린 2WD 120i M 스포츠,21년 7월식,"33,965km","2,290만원 2,570만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 그래비티 6인승,21년 12월식,"43,016km","3,860만원 4,150만원"
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.6 RX 2WD,19년 4월식,"91,026km","930만원 1,050만원"
쉐보레(GM대우) 더 뉴 트래버스 가솔린 4WD 레드라인,22년 6월식,"83,725km","2,630만원 2,760만원"
쉐보레(GM대우) 더 뉴 트래버스 가솔린 4WD 레드라인,23년 6월식,"50,290km","3,200만원 3,360만원"
쉐보레(GM대우) 더 뉴 말리부 2.0 터보 프리미어 스페셜,21년 7월식,"51,477km","1,390만원 1,570만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,21년 2월식,"55,087km","2,360만원 2,550만원"
폭스바겐 올 뉴 제타 1.4 가솔린 1.4 프레스티지,20년 12월식,"54,519km","1,700만원 1,760만원"
제네시스 GV80 가솔린 3.5 AWD (5인승),21년 9월식,"102,041km","3,900만원 4,000만원"
기아 타스만 가솔린 터보 2.5 4WD X-Pro,25년 5월식(26년형),"7,132km","4,730만원 5,270만원"
